"ATOMIC_NR,N,3,0";"EL_SYMB,C,2";"AT_MASS,N,7,4";"K_ALPHA1,N,7,4";"K_ALPHA2,N,7,4";"K_BETA1,N,7,4";"K_BETA2,N,7,4";"K_BETA3,N,7,4";"K_,N,7,4";"L_ALPHA1,N,7,4";"L_ALPHA2,N,7,4";"L_BETA2_15,N,7,4";"L_L,N,7,4";"L_BETA6,N,7,4";"L_BETA1,N,7,4";"L_GAMMA1,N,7,4";"L_ETA,N,7,4";"L_BETA3,N,7,4";"L_BETA4,N,7,4";"L_GAMMA2,N,7,4";"L_GAMMA3,N,7,4";"L_,N,7,4";"M_ALPHA1_2,N,7,4";"M_Z,N,7,4";"M_BETA,N,7,4";"M_N4_M2,N,7,4";"M_GAMMA,N,7,4";"M_N3_M1,N,7,4";"M_O4_M3,N,7,4";"M_N1_M3,N,7,4";"M_Z2,N,7,4";"M____,N,7,4";"R_,N,7,5";"R__,N,7,5";"R___,N,7,5";"K_EC,N,7,4";"L1_EC,N,7,4";"L2_EC,N,7,4";"L3_EC,N,7,4";"M1_EC,N,7,4";"M2_EC,N,7,4";"M3_EC,N,7,4";"M4_EC,N,7,4";"M5_EC,N,7,4";"EL_DENSITY,N,7,4";"EL_OVERKL,N,2,0";"EL_OVERKM,N,2,0";"EL_OVERLK,N,2,0";"EL_OVERLM,N,2,0";"EL_OVERMK,N,2,0";"EL_OVERML,N,2,0";"EL_NAME_GE,C,30";"EL_NAME_EN,C,30"
3;"Li";6,9410;0,0540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0550;0,0050;;;;;;;;0,5340;;;;;;;"Lithium";"Lithium"
4;"Be";9,0120;0,1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1120;0,0090;;;;;;;;1,8480;;38;;;;;"Beryllium";"Beryllium"
5;"B";10,8100;0,1830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1880;0,0140;0,0050;;;;;;;2,3400;;42;;;;;"Bor";"Boron"
6;"C";12,0100;0,2770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2840;0,0190;0,0090;;;;;;;2,2700;19;46;;;;;"Kohlenstoff";"Carbon"
7;"N";14,0100;0,3920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4010;0,0250;0,0090;0,0100;;;;;;0,8080;22;50;;;;;"Stickstoff";"Nitrogen"
8;"O";16,0000;0,5250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5320;0,0240;0,0070;0,0070;;;;;;1,1400;23;54;;;;;"Sauerstoff";"Oxygen"
9;"F";19,0000;0,6770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6850;0,0340;0,0080;0,0090;;;;;;1,5000;26;57;;;;;"Fluor";"Fluorine"
10;"Ne";20,1800;0,8490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8700;0,0480;0,0220;0,0220;;;;;;1,2070;28;58;;;;;"Neon";"Neon"
11;"Na";22,9900;1,0410;;1,0670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0720;0,0630;0,0310;0,0310;0,0010;;;;;0,9710;30;61;;;;;"Natrium";"Sodium"
12;"Mg";24,3100;1,2540;;1,3020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3050;0,0890;0,0520;0,0510;0,0020;;;;;1,7380;33;66;;;;;"Magnesium";"Magnesium"
13;"Al";26,9800;1,4870;;1,5570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5600;0,1180;0,0730;0,0730;0,0010;0,0060;;;;2,6990;35;70;;;;;"Aluminium";"Aluminium"
14;"Si";28,0900;1,7400;1,7390;1,8350;;;;;;;0,0900;;;;;0,1440;;;;;;;;;;;;;;;;;;1,8390;0,1490;0,0990;0,0990;0,0080;0,0030;;;;2,3300;37;74;;;;;"Silicium";"Silicon"
15;"P";30,9700;2,0140;2,0130;2,1390;;;;;;;0,1170;;;;;0,1750;;;;;;;;;;;;;;;;;;2,1450;0,1890;0,1360;0,1350;0,0160;0,0100;0,0100;;;1,8200;40;78;;;;;"Phosphor";"Phosphorus"
16;"S";32,0600;2,3080;2,3070;2,4640;;;;;;;0,1487;;;;;0,2100;;;;;;;;;;;;;;;;;;2,4720;0,2290;0,1650;0,1640;0,0160;0,0080;0,0080;;;2,0700;42;82;5;40;;;"Schwefel";"Sulfur"
17;"Cl";35,4500;2,6220;2,6210;2,8160;;;;;;;0,1826;;;;0,1841;0,2500;;;;;;;;;;;;;;;;;;2,8220;0,2700;0,2020;0,2000;0,0170;0,0070;0,0070;;;1,5600;44;86;5;42;;;"Chlor";"Chlorine"
18;"Ar";39,9500;2,9580;2,9560;3,1910;;;;;;;0,2210;;;;0,2190;0,2900;;;;;;;;;;;;;;;;;;3,2030;0,3260;0,2510;0,2490;0,0250;0,0160;0,0160;;;1,4000;47;90;5;43;;;"Argon";"Argon"
19;"K";39,1000;3,3140;3,3110;3,5900;;;;;;;0,2603;;;;0,2655;0,3400;;;;;;;;;;;;;;;;;;3,6070;0,3770;0,2960;0,2940;0,0340;0,0180;0,0180;;;0,8620;49;;6;45;;;"Kalium";"Potassium"
20;"Ca";40,0800;3,6920;3,6880;4,0130;;;;0,3410;;;0,3027;;0,3450;;0,3064;0,4140;;;;;;;;;;;;;;;;;;4,0380;0,4380;0,3500;0,3470;0,0440;0,0260;0,0250;;;1,5500;52;;6;47;;;"Calcium";"Calcium"
21;"Sc";44,9600;4,0910;4,0860;4,4600;;;;0,3950;;;0,3480;;0,3996;;0,3530;0,4690;;;;;;;;;;;;;;;;;;4,4930;0,5000;0,4070;0,4020;0,0540;0,0340;0,0310;0,0070;;2,9890;54;;7;48;;;"Scandium";"Scandium"
22;"Ti";47,8800;4,5110;4,5050;4,9320;;;;0,4520;;;0,3950;;0,4580;;0,4013;0,5300;;;;;;;;;;;;;;;;;;4,9660;0,5640;0,4610;0,4550;0,0600;0,0360;0,0320;0,0040;;4,5400;56;;7;51;;;"Titan";"Titanium"
23;"V";50,9400;4,9520;4,9450;5,4270;;;;0,5110;;;0,4470;;0,5190;;0,4535;0,5850;;;;;;;;;;;;;;;;;;5,4650;0,6280;0,5210;0,5130;0,0660;0,0410;0,0350;0,0020;;6,1100;59;;8;54;;;"Vanadium";"Vanadium"
24;"Cr";52,0000;5,4150;5,4050;5,9470;;;;0,5730;;;0,5000;;0,5830;;0,5100;0,6540;;;;;;;;;;;;;;;;;;5,9890;0,6950;0,5840;0,5740;0,0740;0,0460;0,0390;0,0030;0,0020;7,1900;61;;8;55;;;"Chromium";"Chromium"
25;"Mn";54,9400;5,8990;5,8880;6,4900;;;;0,6370;;;0,5560;;0,6490;;0,5670;0,7210;;;;;;;;;;;;;;;;;;6,5390;0,7690;0,6510;0,6400;0,0840;0,0530;0,0460;0,0030;0,0030;7,4700;63;;9;57;;;"Mangan";"Manganese"
26;"Fe";55,8500;6,4040;6,3910;7,0570;;;;0,7050;;;0,6150;;0,7190;;0,6280;0,7920;;;;;;;;;;;;;;;;;;7,1130;0,8460;0,7210;0,7080;0,0930;0,0580;0,0520;0,0040;0,0030;7,8740;66;;9;57;;;"Eisen";"Iron"
27;"Co";58,9300;6,9300;6,9130;7,6490;;;;0,7760;;;0,6780;;0,7910;;0,6940;0,8700;;;;;;;;;;;;;;;;;;7,7090;0,9260;0,7940;0,7790;0,1010;0,0630;0,0580;0,0030;0,0030;8,9000;68;;10;57;;;"Cobalt";"Cobalt"
28;"Ni";58,6900;7,4780;7,4610;8,2650;;;;0,8510;;;0,7430;;0,8690;;0,7620;0,9410;;;;;;;;;;;;;;;;;;8,3330;1,0080;0,8720;0,8550;0,1120;0,0710;0,0700;0,0040;0,0030;8,9020;70;;10;58;;;"Nickel";"Nickel"
29;"Cu";63,5500;8,0480;8,0280;8,9050;8,9770;;;0,9230;;;0,8110;;0,9500;;0,8320;1,0230;;;;;;;;;;;;;;;;;;8,9790;1,0970;0,9510;0,9310;0,1200;0,0750;0,0730;0,0020;0,0010;8,9600;73;;10;59;;;"Kupfer";"Copper"
30;"Zn";65,3800;8,6390;8,6160;9,5720;9,6580;;;1,0120;;;0,8840;;1,0350;;0,9060;1,1070;;;;;;;;;;;;;;;;;;9,6590;1,1940;1,0430;1,0200;0,1360;0,0890;0,0860;0,0080;0,0080;7,1330;75;;11;61;;;"Zink";"Zinc"
31;"Ga";69,7200;9,2520;9,2250;10,2630;10,3660;;;1,0980;;;0,9570;;1,1250;;0,9840;1,1970;;;;;;;;;;;;;;;;;;10,3670;1,2980;1,1420;1,1150;0,1580;0,1070;0,1030;0,0210;0,0160;5,9040;77;;11;62;;;"Gallium";"Gallium"
32;"Ge";72,5900;9,8860;9,8850;10,9820;11,1000;;;1,1880;;;1,0360;;1,2190;;1,0680;1,2920;;;;;;;;;;;;;;;;;;11,1030;1,4140;1,2480;1,2170;0,1800;0,1280;0,1210;0,0290;0,0280;5,3230;80;;12;64;;;"Germanium";"Germanium"
33;"As";74,9200;10,5440;10,5080;11,7240;11,8640;;;1,2820;;;1,1200;;1,3170;;1,1550;1,3880;;;;;;;;;;;;;;;;;;11,8670;1,5270;1,3590;1,3230;0,2030;0,1460;0,1410;0,0410;0,0410;5,7300;82;;12;66;;;"Arsen";"Arsenic"
34;"Se";78,9600;11,2220;11,1840;12,4940;12,6520;;;1,3790;;;1,2040;;1,4190;;1,2450;1,4900;;;;;;;;;;;;;;;;;;12,6580;1,6540;1,4760;1,4360;0,2310;0,1680;0,1620;0,0570;0,0560;4,7900;84;;13;67;;;"Selen";"Selenium"
35;"Br";79,9000;11,9240;11,8780;13,2890;13,4690;;;1,4800;;;1,2940;;1,5260;;1,3320;1,5960;;;;;;;;;;;;;;;;;;13,4740;1,7820;1,5960;1,5500;0,2560;0,1890;0,1820;0,0700;0,0690;3,1200;87;;13;69;;;"Brom";"Bromine"
36;"Kr";83,8000;12,6490;12,5980;14,1090;14,3150;;;1,5860;;;1,3880;1,6510;1,6370;;;1,7030;;;;;;0,0930;;;;;;;;;;;;14,3260;1,9210;1,7270;1,6750;0,2920;0,2220;0,2140;0,0950;0,0940;2,1600;89;;13;71;4;;"Krypton";"Krypton"
37;"Rb";85,4700;13,3950;13,3370;14,9580;15,1850;;;1,6940;;;1,4820;1,7750;1,7520;;1,5420;1,8230;;;2,0510;;;0,0970;;;;;;;;;;;;15,2000;2,0650;1,8640;1,8040;0,3220;0,2470;0,2390;0,1120;0,1100;1,5320;91;;14;73;4;;"Rubidium";"Rubidium"
38;"Sr";87,6200;14,1650;14,0980;15,8320;16,0850;15,8250;;1,8060;;;1,5820;1,9010;1,8720;;1,6490;1,9430;;;2,1970;;;0,1140;;;;;;;;;;;;16,1050;2,2160;2,0070;1,9400;0,3570;0,2800;0,2690;0,1350;0,1330;2,5400;92;;14;75;4;;"Strontium";"Strontium"
39;"Y";88,9100;14,9580;14,8830;16,7340;17,0150;16,7260;;1,9220;;;1,6850;2,0340;1,9960;;1,7610;2,0680;;;2,3470;;;0,1330;;;;;;;;;;;;17,0380;2,3730;2,1560;2,0800;0,3940;0,3120;0,3000;0,1600;0,1570;4,4690;;;15;76;4;;"Yttrium";"Yttrium"
40;"Zr";91,2200;15,7750;15,6910;17,6630;17,9700;17,6540;;2,0420;;2,2190;1,7920;2,1710;2,1240;2,3040;1,8760;2,1960;;;2,5030;;;0,1510;;;;;;;;;;;;17,9980;2,5320;2,3070;2,2230;0,4300;0,3440;0,3310;0,1820;0,1800;6,5060;;;15;78;5;;"Zirconium";"Zirconium"
41;"Nb";92,9100;16,6150;16,5210;18,6170;18,9530;18,6060;;2,1660;;2,3670;1,9020;2,3120;2,2570;2,4620;1,9960;2,3290;;;2,6640;;;0,1710;;;;;;;;;;;;18,9860;2,6980;2,4650;2,3710;0,4680;0,3780;0,3630;0,2070;0,2050;8,5700;;;16;79;5;;"Niob";"Niobium"
42;"Mo";95,9400;17,4790;17,3640;19,6020;19,9650;19,5900;;2,2930;;2,5180;2,0160;2,4560;2,3950;2,6240;2,1200;2,4670;;;2,8310;;;0,1920;;;;;;;;;;;;19,9990;2,8650;2,6250;2,5200;0,5050;0,4100;0,3920;0,2300;0,2270;10,2200;;;16;81;5;;"Molybdõn";"Molybdenum"
43;"Tc";98,0000;18,3670;18,2510;20,6120;21,0050;20,5990;;2,4240;;2,6700;2,1300;2,6100;2,5370;2,7900;2,2530;2,6150;;;3,0000;;;0,2140;;;;;;;;;;;;21,0440;3,0420;2,7930;2,6770;0,5440;0,4450;0,4250;0,2560;0,2530;11,5000;;;16;83;5;;"Technetium";"Technetium"
44;"Ru";101,1000;19,2790;19,1500;21,6490;22,0740;21,6350;;2,5590;2,5540;2,8360;2,2530;2,7640;2,6830;2,9640;2,3860;2,7630;2,7410;;3,1810;;;0,2370;;;;;;;;;;;;22,1170;3,2240;2,9670;2,8380;0,5850;0,4830;0,4610;0,2840;0,2790;12,4100;;;17;85;6;;"Ruthenium";"Ruthenium"
45;"Rh";102,9000;20,2160;20,0700;22,7200;23,1700;22,6990;;2,6970;2,6920;3,0010;2,3760;2,9230;2,8340;3,1440;2,5190;2,9160;2,8910;;3,3640;;;0,2600;;;;;;;;;;;;23,2200;3,4120;3,1460;3,0040;0,6270;0,5210;0,4960;0,3120;0,3070;12,4100;;;17;86;6;;"Rhodium";"Rhodium"
46;"Pd";106,4000;21,1770;21,0200;23,8200;24,2900;23,7910;;2,8390;2,8330;3,1720;2,5030;3,0870;2,9900;3,3290;2,6600;3,0730;3,0450;;3,5530;;;0,2820;;;;;;;;;;;;24,3500;3,6040;3,3300;3,1730;0,6700;0,5590;0,5310;0,3400;0,3350;12,0200;;;18;88;6;20;"Palladium";"Palladium"
47;"Ag";107,9000;22,1630;21,9900;24,9400;25,4500;24,9120;;2,9840;2,9780;3,3480;2,6440;3,2560;3,1510;3,5200;2,8060;3,2350;3,2040;;3,7470;;0,3680;0,3100;;;0,5680;;;;;;;;;25,5140;3,8060;3,5240;3,3510;0,7170;0,6020;0,5710;0,3730;0,3670;10,5000;;;18;90;6;20;"Silber";"Silver"
48;"Cd";112,4000;23,1740;22,9800;26,1000;26,6400;26,0610;;3,1340;3,1270;3,5380;2,7670;3,4300;3,3170;3,7270;2,9570;3,4010;3,3670;;3,9510;;0,4050;0,3410;;;0,6090;;;;;;;;;26,7110;4,0180;3,7270;3,5370;0,7700;0,6510;0,6160;0,4110;0,4040;8,6500;;;19;92;7;20;"Cadmium";"Cadmium"
49;"In";114,8000;24,2100;24,0000;27,2800;27,8600;27,2380;;3,2870;3,2790;3,7240;2,9040;3,6080;3,4870;3,9310;3,1120;3,5730;3,5350;;4,1610;;0,4430;0,3700;;;0,6490;;;;;;;;;27,9400;4,2370;3,9380;3,7300;0,8260;0,7020;0,6640;0,4510;0,4430;7,3100;;;19;;7;21;"Indium";"Indium"
50;"Sn";118,7000;25,2710;25,0400;28,4900;29,1000;28,4400;;3,4440;3,4350;3,9150;3,0450;3,7930;3,6630;4,1410;3,2720;3,7500;3,7080;;4,3770;;0,4840;0,4010;;;0,6890;;;;;;;;;29,2000;4,4650;4,1560;3,9290;0,8840;0,7560;0,7140;0,4930;0,4850;7,3100;;;19;;7;21;"Zinn";"Tin"
51;"Sb";121,7000;26,3590;26,1110;29,7260;30,3900;29,6790;;3,6050;3,5950;4,1110;3,1890;3,9800;3,8440;4,3530;3,4370;3,9330;3,8860;;4,6000;;0,5280;0,4330;;;0,7310;;;;;;;;;30,4910;4,6980;4,3800;4,1320;0,9440;0,8120;0,7660;0,5370;0,5270;6,6910;;;20;;7;22;"Antimon";"Antimony"
52;"Te";127,6000;27,4720;27,2020;30,9950;31,7000;30,9440;;3,7690;3,7590;4,3120;3,3360;4,1730;4,0300;4,5760;3,6060;4,1200;4,0690;;4,8290;;0,5730;0,4700;;;0,7780;;;;;;;;;31,8140;4,9390;4,6120;4,3410;1,0010;0,8700;0,8190;0,5820;0,5720;6,2400;;;20;;8;22;"Tellur";"Tellurium"
53;"I";126,9000;28,6120;28,3170;32,2950;33,0420;32,2390;;3,9380;3,9260;4,5080;3,4850;4,3710;4,2210;4,8010;3,7800;4,3130;4,2580;;5,0660;;0,6200;0,4970;;;0,8260;;;;;;;;;33,1690;5,1880;4,8520;4,5570;1,0720;0,9310;0,8750;0,6310;0,6190;4,9300;;;21;;8;23;"Iod";"Iodine"
54;"Xe";131,3000;29,7790;29,4580;33,6240;34,4150;33,5620;;4,1100;4,0990;4,7200;3,6400;4,5760;4,4200;5,0400;3,9610;4,5150;4,4530;;5,3000;;0,6760;0,5310;;;0,8810;;;;;;;;;34,5610;5,4530;5,1040;4,7820;1,1480;0,9990;0,9370;0,6910;0,6750;3,5200;;;21;;8;23;"Xenon";"Xenon"
55;"Cs";132,9000;30,9730;30,6250;34,9870;35,8220;34,9190;;4,2860;4,2720;4,9360;3,7950;4,7810;4,6200;5,2800;4,1420;4,7170;4,6490;5,5420;5,5530;;0,7260;0,5650;;;0,9270;;;;;;;;;35,9850;5,7140;5,3590;5,0120;1,2170;1,0650;0,9980;0,7390;0,7260;1,8730;;;21;;8;24;"Caesium";"Cesium"
