"eV";"Element";"Line";"Rel_intensity";"Name"
8 747,00;"67 Ho";"Lγ1";11;"LG1"
8 758,80;"70 Yb";"Lβ2,15";20;"LB2,15"
8 841,00;"76 Os";"Lα2";11;"LA2"
8 905,30;"29 Cu";"Kβ1,3";17;"KB1,3"
8 911,70;"76 Os";"Lα1";100;"LA1"
8 953,20;"81 Tl";"Ll";6;"Ll"
9 022,70;"72 Hf";"Lβ1";67;"LB1"
9 048,90;"71 Lu";"Lβ2";19;"LB2"
9 089,00;"68 Er";"Lγ1";11;"LG1"
9 099,50;"77 Ir";"Lα2";11;"LA2"
9 175,10;"77 Ir";"Lα1";100;"LA1"
9 184,50;"82 Pb";"Ll";6;"Ll"
9 224,80;"31 Ga";"Kα2";51;"KA2"
9 251,70;"31 Ga";"Kα1";100;"KA1"
9 343,10;"73 Ta";"Lβ1";67;"LB1"
9 347,30;"72 Hf";"Lβ2";20;"LB2"
9 361,80;"78 Pt";"Lα2";11;"LA2"
9 420,40;"83 Bi";"Ll";6;"Ll"
9 426,00;"69 Tm";"Lγ1";12;"LG1"
9 442,30;"78 Pt";"Lα1";100;"LA1"
9 572,00;"30 Zn";"Kβ1,3";17;"KB1,3"
9 628,00;"79 Au";"Lα2";11;"LA2"
9 651,80;"73 Ta";"Lβ2";20;"LB2"
9 672,40;"74 W";"Lβ1";67;"LB1"
9 713,30;"79 Au";"Lα1";100;"LA1"
9 780,10;"70 Yb";"Lγ1";12;"LG1"
9 855,30;"32 Ge";"Kα2";51;"KA2"
9 886,40;"32 Ge";"Kα1";100;"KA1"
9 897,60;"80 Hg";"Lα2";11;"LA2"
9 961,50;"74 W";"Lβ2";21;"LB2"
9 988,80;"80 Hg";"Lα1";100;"LA1"
10 010,00;"75 Re";"Lβ1";66;"LB1"
10 143,40;"71 Lu";"Lγ1";12;"LG1"
10 172,80;"81 Tl";"Lα2";11;"LA2"
10 260,30;"31 Ga";"Kβ3";5;"KB3"
10 264,20;"31 Ga";"Kβ1";66;"KB1"
10 268,50;"81 Tl";"Lα1";100;"LA1"
10 275,20;"75 Re";"Lβ2";22;"LB2"
10 355,30;"76 Os";"Lβ1";67;"LB1"
10 449,50;"82 Pb";"Lα2";11;"LA2"
10 508,00;"33 As";"Kα2";51;"KA2"
10 515,80;"72 Hf";"Lγ1";12;"LG1"
10 543,70;"33 As";"Kα1";100;"KA1"
10 551,50;"82 Pb";"Lα1";100;"LA1"
10 598,50;"76 Os";"Lβ2";22;"LB2"
10 708,30;"77 Ir";"Lβ1";66;"LB1"
10 730,90;"83 Bi";"Lα2";11;"LA2"
10 838,80;"83 Bi";"Lα1";100;"LA1"
10 895,20;"73 Ta";"Lγ1";12;"LG1"
10 920,30;"77 Ir";"Lβ2";22;"LB2"
10 978,00;"32 Ge";"Kβ3";6;"KB3"
10 982,10;"32 Ge";"Kβ1";60;"KB1"
11 070,70;"78 Pt";"Lβ1";67;"LB1"
11 118,60;"90 Th";"Ll";6;"Ll"
11 181,40;"34 Se";"Kα2";52;"KA2"
11 222,40;"34 Se";"Kα1";100;"KA1"
11 250,50;"78 Pt";"Lβ2";23;"LB2"
11 285,90;"74 W";"Lγ1";13;"LG1"
11 442,30;"79 Au";"Lβ1";67;"LB1"
11 584,70;"79 Au";"Lβ2";23;"LB2"
11 618,30;"92 U";"Ll";7;"Ll"
11 685,40;"75 Re";"Lγ1";13;"LG1"
11 720,30;"33 As";"Kβ3";6;"KB3"
11 726,20;"33 As";"Kβ1";13;"KB1"
11 822,60;"80 Hg";"Lβ1";67;"LB1"
11 864,00;"33 As";"Kβ2";1;"KB2"
11 877,60;"35 Br";"Kα2";52;"KA2"
11 924,10;"80 Hg";"Lβ2";24;"LB2"
11 924,20;"35 Br";"Kα1";100;"KA1"
12 095,30;"76 Os";"Lγ1";13;"LG1"
12 213,30;"81 Tl";"Lβ1";67;"LB1"
12 271,50;"81 Tl";"Lβ2";25;"LB2"
12 489,60;"34 Se";"Kβ3";6;"KB3"
12 495,90;"34 Se";"Kβ1";13;"KB1"
12 512,60;"77 Ir";"Lγ1";13;"LG1"
12 598,00;"36 Kr";"Kα2";52;"KA2"
12 613,70;"82 Pb";"Lβ1";66;"LB1"
12 622,60;"82 Pb";"Lβ2";25;"LB2"
12 649,00;"36 Kr";"Kα1";100;"KA1"
12 652,00;"34 Se";"Kβ2";1;"KB2"
12 809,60;"90 Th";"Lα2";11;"LA2"
12 942,00;"78 Pt";"Lγ1";13;"LG1"
12 968,70;"90 Th";"Lα1";100;"LA1"
12 979,90;"83 Bi";"Lβ2";25;"LB2"
13 023,50;"83 Bi";"Lβ1";67;"LB1"
13 284,50;"35 Br";"Kβ3";7;"KB3"
13 291,40;"35 Br";"Kβ1";14;"KB1"
13 335,80;"37 Rb";"Kα2";52;"KA2"
13 381,70;"79 Au";"Lγ1";13;"LG1"
13 395,30;"37 Rb";"Kα1";100;"KA1"
13 438,80;"92 U";"Lα2";11;"LA2"
13 469,50;"35 Br";"Kβ2";1;"KB2"
13 614,70;"92 U";"Lα1";100;"LA1"
13 830,10;"80 Hg";"Lγ1";14;"LG1"
14 097,90;"38 Sr";"Kα2";52;"KA2"
14 104,00;"36 Kr";"Kβ3";7;"KB3"
14 112,00;"36 Kr";"Kβ1";14;"KB1"
14 165,00;"38 Sr";"Kα1";100;"KA1"
14 291,50;"81 Tl";"Lγ1";14;"LG1"
14 315,00;"36 Kr";"Kβ2";2;"KB2"
14 764,40;"82 Pb";"Lγ1";14;"LG1"
14 882,90;"39 Y";"Kα2";52;"KA2"
14 951,70;"37 Rb";"Kβ3";7;"KB3"
14 958,40;"39 Y";"Kα1";100;"KA1"
14 961,30;"37 Rb";"Kβ1";14;"KB1"
15 185,00;"37 Rb";"Kβ2";2;"KB2"
15 247,70;"83 Bi";"Lγ1";14;"LG1"
15 623,70;"90 Th";"Lβ2";26;"LB2"
15 690,90;"40 Zr";"Kα2";52;"KA2"
15 775,10;"40 Zr";"Kα1";100;"KA1"
15 824,90;"38 Sr";"Kβ3";7;"KB3"
15 835,70;"38 Sr";"Kβ1";14;"KB1"
16 084,60;"38 Sr";"Kβ2";3;"KB2"
16 202,20;"90 Th";"Lβ1";69;"LB1"
16 428,30;"92 U";"Lβ2";26;"LB2"
16 521,00;"41 Nb";"Kα2";52;"KA2"
16 615,10;"41 Nb";"Kα1";100;"KA1"
16 725,80;"39 Y";"Kβ3";8;"KB3"
16 737,80;"39 Y";"Kβ1";15;"KB1"
17 015,40;"39 Y";"Kβ2";3;"KB2"
17 220,00;"92 U";"Lβ1";61;"LB1"
17 374,30;"42 Mo";"Kα2";52;"KA2"
17 479,30;"42 Mo";"Kα1";100;"KA1"
17 654,00;"40 Zr";"Kβ3";8;"KB3"
17 667,80;"40 Zr";"Kβ1";15;"KB1"
17 970,00;"40 Zr";"Kβ2";3;"KB2"
18 250,80;"43 Tc";"Kα2";53;"KA2"
18 367,10;"43 Tc";"Kα1";100;"KA1"
18 606,30;"41 Nb";"Kβ3";8;"KB3"
18 622,50;"41 Nb";"Kβ1";15;"KB1"
18 953,00;"41 Nb";"Kβ2";3;"KB2"
18 982,50;"90 Th";"Lγ1";16;"LG1"
19 150,40;"44 Ru";"Kα2";53;"KA2"
19 279,20;"44 Ru";"Kα1";100;"KA1"
19 590,30;"42 Mo";"Kβ3";8;"KB3"
19 608,30;"42 Mo";"Kβ1";15;"KB1"
19 965,20;"42 Mo";"Kβ2";3;"KB2"
20 073,70;"45 Rh";"Kα2";53;"KA2"
20 167,10;"92 U";"Lγ1";15;"LG1"
20 216,10;"45 Rh";"Kα1";100;"KA1"
20 599,00;"43 Tc";"Kβ3";8;"KB3"
20 619,00;"43 Tc";"Kβ1";16;"KB1"
21 005,00;"43 Tc";"Kβ2";4;"KB2"
21 020,10;"46 Pd";"Kα2";53;"KA2"
21 177,10;"46 Pd";"Kα1";100;"KA1"
21 634,60;"44 Ru";"Kβ3";8;"KB3"
21 656,80;"44 Ru";"Kβ1";16;"KB1"
21 990,30;"47 Ag";"Kα2";53;"KA2"
22 074,00;"44 Ru";"Kβ2";4;"KB2"
22 162,90;"47 Ag";"Kα1";100;"KA1"
22 698,90;"45 Rh";"Kβ3";8;"KB3"
22 723,60;"45 Rh";"Kβ1";16;"KB1"
22 984,10;"48 Cd";"Kα2";53;"KA2"
23 172,80;"45 Rh";"Kβ2";4;"KB2"
23 173,60;"48 Cd";"Kα1";100;"KA1"
23 791,10;"46 Pd";"Kβ3";8;"KB3"
23 818,70;"46 Pd";"Kβ1";16;"KB1"
24 002,00;"49 In";"Kα2";53;"KA2"
24 209,70;"49 In";"Kα1";100;"KA1"
24 299,10;"46 Pd";"Kβ2";4;"KB2"
24 911,50;"47 Ag";"Kβ3";9;"KB3"
24 942,40;"47 Ag";"Kβ1";16;"KB1"
25 044,00;"50 Sn";"Kα2";53;"KA2"
25 271,30;"50 Sn";"Kα1";100;"KA1"
25 456,40;"47 Ag";"Kβ2";4;"KB2"
26 061,20;"48 Cd";"Kβ3";9;"KB3"
26 095,50;"48 Cd";"Kβ1";17;"KB1"
26 110,80;"51 Sb";"Kα2";54;"KA2"
26 359,10;"51 Sb";"Kα1";100;"KA1"
26 643,80;"48 Cd";"Kβ2";4;"KB2"
27 201,70;"52 Te";"Kα2";54;"KA2"
27 237,70;"49 In";"Kβ3";9;"KB3"
27 275,90;"49 In";"Kβ1";17;"KB1"
27 472,30;"52 Te";"Kα1";100;"KA1"
27 860,80;"49 In";"Kβ2";5;"KB2"
28 317,20;"53 I";"Kα2";54;"KA2"
28 444,00;"50 Sn";"Kβ3";9;"KB3"
28 486,00;"50 Sn";"Kβ1";17;"KB1"
28 612,00;"53 I";"Kα1";100;"KA1"
29 109,30;"50 Sn";"Kβ2";5;"KB2"
29 458,00;"54 Xe";"Kα2";54;"KA2"
29 679,20;"51 Sb";"Kβ3";9;"KB3"
29 725,60;"51 Sb";"Kβ1";18;"KB1"
29 779,00;"54 Xe";"Kα1";100;"KA1"
30 389,50;"51 Sb";"Kβ2";5;"KB2"
30 625,10;"55 Cs";"Kα2";54;"KA2"
30 944,30;"52 Te";"Kβ3";9;"KB3"
30 972,80;"55 Cs";"Kα1";100;"KA1"
30 995,70;"52 Te";"Kβ1";18;"KB1"
31 700,40;"52 Te";"Kβ2";5;"KB2"
31 817,10;"56 Ba";"Kα2";54;"KA2"
32 193,60;"56 Ba";"Kα1";100;"KA1"
32 239,40;"53 I";"Kβ3";9;"KB3"
32 294,70;"53 I";"Kβ1";18;"KB1"
33 034,10;"57 La";"Kα2";54;"KA2"
33 042,00;"53 I";"Kβ2";5;"KB2"
33 441,80;"57 La";"Kα1";100;"KA1"
33 562,00;"54 Xe";"Kβ3";9;"KB3"
33 624,00;"54 Xe";"Kβ1";18;"KB1"
34 278,90;"58 Ce";"Kα2";55;"KA2"
34 415,00;"54 Xe";"Kβ2";5;"KB2"
34 719,70;"58 Ce";"Kα1";100;"KA1"
34 919,40;"55 Cs";"Kβ3";9;"KB3"
34 986,90;"55 Cs";"Kβ1";18;"KB1"
35 550,20;"59 Pr";"Kα2";55;"KA2"
35 822,00;"55 Cs";"Kβ2";6;"KB2"
36 026,30;"59 Pr";"Kα1";100;"KA1"
36 304,00;"56 Ba";"Kβ3";10;"KB3"
36 378,20;"56 Ba";"Kβ1";18;"KB1"
36 847,40;"60 Nd";"Kα2";55;"KA2"
37 257,00;"56 Ba";"Kβ2";6;"KB2"
37 361,00;"60 Nd";"Kα1";100;"KA1"
37 720,20;"57 La";"Kβ3";10;"KB3"
37 801,00;"57 La";"Kβ1";19;"KB1"
38 171,20;"61 Pm";"Kα2";55;"KA2"
38 724,70;"61 Pm";"Kα1";100;"KA1"
38 729,90;"57 La";"Kβ2";6;"KB2"
39 170,10;"58 Ce";"Kβ3";10;"KB3"
39 257,30;"58 Ce";"Kβ1";19;"KB1"
39 522,40;"62 Sm";"Kα2";55;"KA2"
40 118,10;"62 Sm";"Kα1";100;"KA1"
40 233,00;"58 Ce";"Kβ2";6;"KB2"
40 652,90;"59 Pr";"Kβ3";10;"KB3"
40 748,20;"59 Pr";"Kβ1";19;"KB1"
40 901,90;"63 Eu";"Kα2";56;"KA2"
41 542,20;"63 Eu";"Kα1";100;"KA1"
41 773,00;"59 Pr";"Kβ2";6;"KB2"
42 166,50;"60 Nd";"Kβ3";10;"KB3"
42 271,30;"60 Nd";"Kβ1";19;"KB1"
42 308,90;"64 Gd";"Kα2";56;"KA2"
42 996,20;"64 Gd";"Kα1";100;"KA1"
43 335,00;"60 Nd";"Kβ2";6;"KB2"
43 713,00;"61 Pm";"Kβ3";10;"KB3"
43 744,10;"65 Tb";"Kα2";56;"KA2"
43 826,00;"61 Pm";"Kβ1";19;"KB1"
44 481,60;"65 Tb";"Kα1";100;"KA1"
44 942,00;"61 Pm";"Kβ2";6;"KB2"
45 207,80;"66 Dy";"Kα2";56;"KA2"
45 289,00;"62 Sm";"Kβ3";10;"KB3"
45 413,00;"62 Sm";"Kβ1";19;"KB1"
45 998,40;"66 Dy";"Kα1";100;"KA1"
46 578,00;"62 Sm";"Kβ2";6;"KB2"
46 699,70;"67 Ho";"Kα2";56;"KA2"
46 903,60;"63 Eu";"Kβ3";10;"KB3"
47 037,90;"63 Eu";"Kβ1";19;"KB1"
47 546,70;"67 Ho";"Kα1";100;"KA1"
48 221,10;"68 Er";"Kα2";56;"KA2"
48 256,00;"63 Eu";"Kβ2";6;"KB2"
48 555,00;"64 Gd";"Kβ3";10;"KB3"
48 697,00;"64 Gd";"Kβ1";20;"KB1"
49 127,70;"68 Er";"Kα1";100;"KA1"
49 772,60;"69 Tm";"Kα2";57;"KA2"
49 959,00;"64 Gd";"Kβ2";7;"KB2"
50 229,00;"65 Tb";"Kβ3";10;"KB3"
50 382,00;"65 Tb";"Kβ1";20;"KB1"
50 741,60;"69 Tm";"Kα1";100;"KA1"
51 354,00;"70 Yb";"Kα2";57;"KA2"
51 698,00;"65 Tb";"Kβ2";7;"KB2"
51 957,00;"66 Dy";"Kβ3";10;"KB3"
52 119,00;"66 Dy";"Kβ1";20;"KB1"
52 388,90;"70 Yb";"Kα1";100;"KA1"
52 965,00;"71 Lu";"Kα2";57;"KA2"
53 476,00;"66 Dy";"Kβ2";7;"KB2"
53 711,00;"67 Ho";"Kβ3";11;"KB3"
53 877,00;"67 Ho";"Kβ1";20;"KB1"
54 069,80;"71 Lu";"Kα1";100;"KA1"
54 611,40;"72 Hf";"Kα2";57;"KA2"
55 293,00;"67 Ho";"Kβ2";7;"KB2"
55 494,00;"68 Er";"Kβ3";11;"KB3"
55 681,00;"68 Er";"Kβ1";21;"KB1"
55 790,20;"72 Hf";"Kα1";100;"KA1"
56 277,00;"73 Ta";"Kα2";57;"KA2"
57 210,00;"68 Er";"Kβ2";7;"KB2"
57 304,00;"69 Tm";"Kβ3";11;"KB3"
57 517,00;"69 Tm";"Kβ1";21;"KB1"
57 532,00;"73 Ta";"Kα1";100;"KA1"
57 981,70;"74 W";"Kα2";58;"KA2"
59 090,00;"69 Tm";"Kβ2";7;"KB2"
59 140,00;"70 Yb";"Kβ3";11;"KB3"
59 318,20;"74 W";"Kα1";100;"KA1"
59 370,00;"70 Yb";"Kβ1";21;"KB1"
59 717,90;"75 Re";"Kα2";58;"KA2"
60 980,00;"70 Yb";"Kβ2";7;"KB2"
61 050,00;"71 Lu";"Kβ3";11;"KB3"
61 140,30;"75 Re";"Kα1";100;"KA1"
61 283,00;"71 Lu";"Kβ1";21;"KB1"
61 486,70;"76 Os";"Kα2";58;"KA2"
62 970,00;"71 Lu";"Kβ2";7;"KB2"
62 980,00;"72 Hf";"Kβ3";11;"KB3"
63 000,50;"76 Os";"Kα1";100;"KA1"
63 234,00;"72 Hf";"Kβ1";22;"KB1"
63 286,70;"77 Ir";"Kα2";58;"KA2"
64 895,60;"77 Ir";"Kα1";100;"KA1"
64 948,80;"73 Ta";"Kβ3";11;"KB3"
64 980,00;"72 Hf";"Kβ2";7;"KB2"
65 112,00;"78 Pt";"Kα2";58;"KA2"
65 223,00;"73 Ta";"Kβ1";22;"KB1"
66 832,00;"78 Pt";"Kα1";100;"KA1"
66 951,40;"74 W";"Kβ3";11;"KB3"
66 989,50;"79 Au";"Kα2";59;"KA2"
66 990,00;"73 Ta";"Kβ2";7;"KB2"
67 244,30;"74 W";"Kβ1";22;"KB1"
68 803,70;"79 Au";"Kα1";100;"KA1"
68 895,00;"80 Hg";"Kα2";59;"KA2"
68 994,00;"75 Re";"Kβ3";12;"KB3"
69 067,00;"74 W";"Kβ2";8;"KB2"
69 310,00;"75 Re";"Kβ1";22;"KB1"
70 819,00;"80 Hg";"Kα1";100;"KA1"
70 831,90;"81 Tl";"Kα2";60;"KA2"
71 077,00;"76 Os";"Kβ3";12;"KB3"
71 232,00;"75 Re";"Kβ2";8;"KB2"
71 413,00;"76 Os";"Kβ1";23;"KB1"
72 804,20;"82 Pb";"Kα2";60;"KA2"
72 871,50;"81 Tl";"Kα1";100;"KA1"
73 202,70;"77 Ir";"Kβ3";12;"KB3"
73 363,00;"76 Os";"Kβ2";8;"KB2"
73 560,80;"77 Ir";"Kβ1";23;"KB1"
74 814,80;"83 Bi";"Kα2";60;"KA2"
74 969,40;"82 Pb";"Kα1";100;"KA1"
75 368,00;"78 Pt";"Kβ3";12;"KB3"
75 575,00;"77 Ir";"Kβ2";8;"KB2"
75 748,00;"78 Pt";"Kβ1";23;"KB1"
77 107,90;"83 Bi";"Kα1";100;"KA1"
77 580,00;"79 Au";"Kβ3";12;"KB3"
77 850,00;"78 Pt";"Kβ2";8;"KB2"
77 984,00;"79 Au";"Kβ1";23;"KB1"
79 822,00;"80 Hg";"Kβ3";12;"KB3"
80 150,00;"79 Au";"Kβ2";8;"KB2"
80 253,00;"80 Hg";"Kβ1";23;"KB1"
82 118,00;"81 Tl";"Kβ3";12;"KB3"
82 515,00;"80 Hg";"Kβ2";8;"KB2"
82 576,00;"81 Tl";"Kβ1";23;"KB1"
84 450,00;"82 Pb";"Kβ3";12;"KB3"
84 910,00;"81 Tl";"Kβ2";8;"KB2"
84 936,00;"82 Pb";"Kβ1";23;"KB1"
86 834,00;"83 Bi";"Kβ3";12;"KB3"
87 320,00;"82 Pb";"Kβ2";8;"KB2"
87 343,00;"83 Bi";"Kβ1";23;"KB1"
89 830,00;"83 Bi";"Kβ2";9;"KB2"
89 953,00;"90 Th";"Kα2";62;"KA2"
93 350,00;"90 Th";"Kα1";100;"KA1"
94 665,00;"92 U";"Kα2";62;"KA2"
98 439,00;"92 U";"Kα1";100;"KA1"
104 831,00;"90 Th";"Kβ3";12;"KB3"
105 609,00;"90 Th";"Kβ1";24;"KB1"
108 640,00;"90 Th";"Kβ2";9;"KB2"
110 406,00;"92 U";"Kβ3";13;"KB3"
111 300,00;"92 U";"Kβ1";24;"KB1"
114 530,00;"92 U";"Kβ2";9;"KB2"
